-- ============================================================
-- PIYÈS — Photographie de la base de données 
-- (passée 080826, donc de legeres modifications peuvent avoir eu lieu depuis  )
-- ============================================================

-- Liste des tables et types

| table_name             | column_name             | data_type                   | is_nullable |
| ---------------------- | ----------------------- | --------------------------- | ----------- |
| Account                | id                      | text                        | NO          |
| Account                | userId                  | text                        | NO          |
| Account                | provider                | text                        | NO          |
| Account                | label                   | text                        | NO          |
| Account                | balance                 | integer                     | NO          |
| Account                | color                   | text                        | NO          |
| Account                | accountNumber           | text                        | NO          |
| Account                | logoText                | text                        | NO          |
| Account                | logoUrl                 | text                        | YES         |
| Account                | status                  | text                        | NO          |
| Account                | createdAt               | timestamp without time zone | NO          |
| Account                | updatedAt               | timestamp without time zone | NO          |
| Account                | isVerified              | boolean                     | NO          |
| Account                | kycStatus               | text                        | NO          |
| Account                | balance_formatted       | text                        | YES         |
| Account                | permission              | text                        | YES         |
| Ad                     | id                      | text                        | NO          |
| Ad                     | userId                  | text                        | NO          |
| Ad                     | title                   | text                        | NO          |
| Ad                     | description             | text                        | NO          |
| Ad                     | price                   | integer                     | NO          |
| Ad                     | location                | text                        | NO          |
| Ad                     | category                | text                        | NO          |
| Ad                     | images                  | text                        | NO          |
| Ad                     | rating                  | double precision            | NO          |
| Ad                     | views                   | integer                     | NO          |
| Ad                     | createdAt               | timestamp without time zone | NO          |
| BusinessProfile        | id                      | text                        | NO          |
| BusinessProfile        | userId                  | text                        | NO          |
| BusinessProfile        | companyName             | text                        | YES         |
| BusinessProfile        | sector                  | text                        | YES         |
| BusinessProfile        | nif                     | text                        | YES         |
| BusinessProfile        | address                 | text                        | YES         |
| BusinessProfile        | repName                 | text                        | YES         |
| BusinessProfile        | createdAt               | timestamp without time zone | NO          |
| BusinessProfile        | updatedAt               | timestamp without time zone | NO          |
| Card                   | id                      | text                        | NO          |
| Card                   | userId                  | text                        | NO          |
| Card                   | type                    | text                        | NO          |
| Card                   | brand                   | text                        | NO          |
| Card                   | lastFour                | text                        | NO          |
| Card                   | expiryDate              | text                        | NO          |
| Card                   | status                  | text                        | NO          |
| Card                   | color                   | text                        | NO          |
| Card                   | nameOnCard              | text                        | NO          |
| Card                   | cvv                     | text                        | NO          |
| Card                   | limit                   | integer                     | NO          |
| Card                   | isFrozen                | boolean                     | NO          |
| Card                   | onlinePayments          | boolean                     | NO          |
| Card                   | international           | boolean                     | NO          |
| Card                   | contactless             | boolean                     | NO          |
| Card                   | createdAt               | timestamp without time zone | NO          |
| Card                   | updatedAt               | timestamp without time zone | NO          |
| Contact                | id                      | text                        | NO          |
| Contact                | userId                  | text                        | NO          |
| Contact                | contactUserId           | text                        | YES         |
| Contact                | name                    | text                        | NO          |
| Contact                | tag                     | text                        | YES         |
| Contact                | app                     | text                        | NO          |
| Contact                | isVerified              | boolean                     | NO          |
| Contact                | isFavorite              | boolean                     | NO          |
| Contact                | phone                   | text                        | YES         |
| Contact                | type                    | text                        | NO          |
| Contact                | createdAt               | timestamp without time zone | NO          |
| Contact                | email                   | text                        | YES         |
| Contact                | randomKey               | text                        | YES         |
| Contact                | lastTransactionDate     | text                        | YES         |
| Contact                | avatarUrl               | text                        | YES         |
| Contact                | updatedAt               | timestamp without time zone | YES         |
| Conversation           | id                      | text                        | NO          |
| Conversation           | adId                    | text                        | NO          |
| Conversation           | role                    | text                        | NO          |
| Conversation           | updatedAt               | timestamp without time zone | NO          |
| Friendship             | id                      | text                        | NO          |
| Friendship             | requesterId             | text                        | NO          |
| Friendship             | receiverId              | text                        | NO          |
| Friendship             | status                  | text                        | NO          |
| Friendship             | createdAt               | timestamp without time zone | NO          |
| Friendship             | updatedAt               | timestamp without time zone | NO          |
| InternationalTransfer  | id                      | text                        | NO          |
| InternationalTransfer  | senderId                | text                        | NO          |
| InternationalTransfer  | recipientName           | text                        | NO          |
| InternationalTransfer  | country                 | text                        | NO          |
| InternationalTransfer  | method                  | text                        | NO          |
| InternationalTransfer  | methodInfo              | text                        | YES         |
| InternationalTransfer  | amountHTG               | integer                     | NO          |
| InternationalTransfer  | currency                | text                        | NO          |
| InternationalTransfer  | amountForeign           | integer                     | NO          |
| InternationalTransfer  | fees                    | integer                     | NO          |
| InternationalTransfer  | exchangeRate            | numeric                     | YES         |
| InternationalTransfer  | status                  | text                        | NO          |
| InternationalTransfer  | transactionId           | text                        | YES         |
| InternationalTransfer  | authCode                | text                        | YES         |
| InternationalTransfer  | externalId              | text                        | YES         |
| InternationalTransfer  | createdAt               | timestamp without time zone | NO          |
| InternationalTransfer  | updatedAt               | timestamp without time zone | NO          |
| Key                    | id                      | text                        | NO          |
| Key                    | userId                  | text                        | NO          |
| Key                    | type                    | text                        | NO          |
| Key                    | value                   | text                        | NO          |
| Key                    | isVerified              | boolean                     | NO          |
| Key                    | createdAt               | timestamp without time zone | NO          |
| Message                | id                      | text                        | NO          |
| Message                | conversationId          | text                        | NO          |
| Message                | senderId                | text                        | NO          |
| Message                | text                    | text                        | NO          |
| Message                | timestamp               | timestamp without time zone | NO          |
| Notification           | id                      | text                        | NO          |
| Notification           | userId                  | text                        | NO          |
| Notification           | type                    | text                        | NO          |
| Notification           | title                   | text                        | NO          |
| Notification           | body                    | text                        | NO          |
| Notification           | amount                  | text                        | YES         |
| Notification           | isRead                  | boolean                     | NO          |
| Notification           | route                   | text                        | YES         |
| Notification           | targetId                | text                        | YES         |
| Notification           | timestamp               | timestamp without time zone | NO          |
| Notification           | data                    | jsonb                       | YES         |
| PrivacySettings        | id                      | text                        | NO          |
| PrivacySettings        | userId                  | text                        | NO          |
| PrivacySettings        | blockRequestsFrom       | text                        | NO          |
| PrivacySettings        | blockTransfersFrom      | text                        | NO          |
| PrivacySettings        | blockedEntities         | text                        | NO          |
| PrivacySettings        | visibility              | text                        | NO          |
| PrivacySettings        | allowAnonymousTransfers | boolean                     | NO          |
| PrivacySettings        | hideTagInReceipts       | boolean                     | NO          |
| PrivacySettings        | requestsOnlyFromFriends | boolean                     | NO          |
| Promotion              | id                      | text                        | NO          |
| Promotion              | title                   | text                        | NO          |
| Promotion              | description             | text                        | NO          |
| Promotion              | icon                    | text                        | NO          |
| Promotion              | route                   | text                        | NO          |
| Promotion              | color                   | text                        | NO          |
| Promotion              | textColor               | text                        | NO          |
| Promotion              | isActive                | boolean                     | NO          |
| Promotion              | createdAt               | timestamp without time zone | NO          |
| ScheduledPayment       | id                      | text                        | NO          |
| ScheduledPayment       | userId                  | text                        | NO          |
| ScheduledPayment       | title                   | text                        | NO          |
| ScheduledPayment       | counterparty            | text                        | NO          |
| ScheduledPayment       | amount                  | integer                     | NO          |
| ScheduledPayment       | dueDate                 | timestamp without time zone | NO          |
| ScheduledPayment       | status                  | text                        | NO          |
| ScheduledPayment       | type                    | text                        | NO          |
| ScheduledPayment       | frequency               | text                        | NO          |
| ScheduledPayment       | createdAt               | timestamp without time zone | NO          |
| ScheduledPayment       | payerUserId             | text                        | YES         |
| ScheduledPayment       | receiverUserId          | text                        | YES         |
| ScheduledPayment       | reminders               | jsonb                       | YES         |
| ScheduledPayment       | confirmedAt             | timestamp without time zone | YES         |
| ScheduledPayment       | qrToken                 | text                        | YES         |
| ScheduledPayment       | qrExpiresAt             | timestamp without time zone | YES         |
| ScheduledPayment       | updatedAt               | timestamp without time zone | YES         |
| ScheduledPayment       | paidAt                  | timestamp without time zone | YES         |
| ScheduledPayment       | hiddenByUserId          | text                        | YES         |
| Session                | id                      | text                        | NO          |
| Session                | userId                  | text                        | NO          |
| Session                | token                   | text                        | NO          |
| Session                | device                  | text                        | YES         |
| Session                | expiresAt               | timestamp without time zone | NO          |
| Session                | createdAt               | timestamp without time zone | NO          |
| Session                | isVerified              | boolean                     | NO          |
| Session                | otpCode                 | text                        | YES         |
| Session                | otpExpiresAt            | timestamp without time zone | YES         |
| Transaction            | id                      | text                        | NO          |
| Transaction            | type                    | text                        | NO          |
| Transaction            | amount                  | integer                     | NO          |
| Transaction            | description             | text                        | NO          |
| Transaction            | date                    | timestamp without time zone | NO          |
| Transaction            | role                    | text                        | NO          |
| Transaction            | counterpartyName        | text                        | NO          |
| Transaction            | userId                  | text                        | NO          |
| Transaction            | accountId               | text                        | YES         |
| Transaction            | auth_code               | text                        | YES         |
| Transaction            | external_id             | text                        | YES         |
| Transaction            | moncashTransactionId    | text                        | YES         |
| Transaction            | balance_before          | integer                     | YES         |
| Transaction            | balance_after           | integer                     | YES         |
| Transaction            | payment_order_id        | text                        | YES         |
| User                   | id                      | text                        | NO          |
| User                   | name                    | text                        | NO          |
| User                   | tag                     | text                        | NO          |
| User                   | email                   | text                        | YES         |
| User                   | passwordHash            | text                        | NO          |
| User                   | pinHash                 | text                        | YES         |
| User                   | accountNumber           | text                        | NO          |
| User                   | balance                 | integer                     | NO          |
| User                   | mfaEnabled              | boolean                     | NO          |
| User                   | biometricsEnabled       | boolean                     | NO          |
| User                   | verificationStatus      | text                        | NO          |
| User                   | isDeviceVerified        | boolean                     | NO          |
| User                   | phone                   | text                        | YES         |
| User                   | language                | text                        | NO          |
| User                   | createdAt               | timestamp without time zone | NO          |
| User                   | updatedAt               | timestamp without time zone | NO          |
| User                   | avatarUrl               | text                        | YES         |
| User                   | address                 | text                        | YES         |
| User                   | dob                     | text                        | YES         |
| User                   | idNumber                | text                        | YES         |
| User                   | nationality             | text                        | YES         |
| User                   | timezone                | text                        | YES         |
| User                   | initials                | text                        | YES         |
| User                   | firstName               | text                        | YES         |
| User                   | lastName                | text                        | YES         |
| User                   | accountType             | text                        | NO          |
| User                   | deleted                 | text                        | YES         |
| User                   | is_demo                 | boolean                     | YES         |
| User                   | demo_session_id         | text                        | YES         |
| User                   | demo_created_at         | timestamp without time zone | YES         |
| _UserConversations     | A                       | text                        | NO          |
| _UserConversations     | B                       | text                        | NO          |
| journal_entry          | id                      | uuid                        | NO          |
| journal_entry          | posted_at               | timestamp with time zone    | NO          |
| journal_entry          | status                  | text                        | NO          |
| journal_entry          | external_ref            | text                        | YES         |
| journal_entry          | payment_order_id        | uuid                        | YES         |
| journal_entry          | description             | text                        | NO          |
| journal_line           | id                      | uuid                        | NO          |
